BAD,LOAN,MORTDUE,VALUE,REASON,JOB,YOJ,DEROG,DELINQ,CLAGE,NINQ,CLNO,DEBTINC,Prob,Score,CCCD,Tên,HDV
0,6900,,57067.0,,,,,,,,,14.370985949,0.013919641437771,763,133816082013,Trần Thùy Dũng,786079
0,26900,115638.0,145440.0,DebtCon,Office,4.0,,,294.70019205,2.0,36.0,43.908645333,0.0060637207862494,793,169616019503,Phan Thị Sơn,039799
0,34100,138523.0,196555.0,DebtCon,ProfExe,21.0,0.0,0.0,185.00543467,1.0,22.0,38.896039504,0.0025361721627506,824,827227906973,Vũ Hải Vân,212953
0,27600,60039.0,86166.0,DebtCon,Office,0.0,0.0,0.0,100.94932169,0.0,23.0,33.820934036,0.0041863003473569,806,435804290977,Phạm Thu Tú,486681
0,24400,112178.0,159638.0,DebtCon,Mgr,17.0,0.0,0.0,197.96955851,0.0,26.0,33.130175892,0.0021821125421683,830,669613206782,Trần Xuân Mai,947733
0,22000,71664.0,98015.0,DebtCon,Mgr,9.0,0.0,0.0,191.31360881,1.0,19.0,34.921021057,0.0238549364289525,743,899225394161,Đặng Thu Mai,441542
0,27600,64818.0,91915.0,DebtCon,Other,16.0,0.0,0.0,99.604607809,0.0,17.0,32.461144333,0.0125555792262166,766,134840540262,Nguyễn Minh Vân,891557
0,42300,22434.0,65893.0,DebtCon,Other,18.0,0.0,0.0,205.53364284,1.0,31.0,43.228664583,0.0109828953370967,771,174697558252,Đặng Hồng Anh,484708
0,10200,80969.0,100937.0,DebtCon,Other,9.0,0.0,0.0,168.74982105,4.0,21.0,39.698429807,0.0254168308959606,740,36090129075,Vũ Thùy Bình,238605
0,12300,152107.0,179793.0,DebtCon,ProfExe,7.0,,1.0,212.78299558,3.0,25.0,43.134095051,0.0257068310028572,740,729577642712,Lê Minh Linh,524822
0,12100,105104.0,144712.0,HomeImp,ProfExe,13.0,0.0,0.0,129.51880811,5.0,22.0,37.413774661,0.0577502096138822,710,794949760681,Hoàng Quốc Linh,740758
0,21600,61797.0,109007.0,DebtCon,ProfExe,14.0,0.0,2.0,267.88778988,0.0,35.0,26.092171525,0.018787093886725,752,93170893876,Phạm Đức Cường,729984
0,39000,36335.0,50704.0,DebtCon,Other,,0.0,0.0,,7.0,0.0,31.244398501,0.0271658986175115,738,351982376621,Phan Quốc Mai,405023
0,19500,52080.0,89913.0,DebtCon,Other,12.0,0.0,0.0,110.76030661,0.0,9.0,4.337283357,0.0214667434383565,747,1333071545,Hoàng Đức Hà,165302
0,20500,47130.0,66415.0,DebtCon,Office,4.0,0.0,0.0,170.9255245,2.0,26.0,33.582415749,0.004316449741555,805,877262952037,Lê Hải Thảo,201152
0,4900,58688.0,63348.0,DebtCon,ProfExe,9.0,0.0,3.0,179.16257471,2.0,31.0,22.544392837,0.0594090405040734,709,24006462631,Đặng Xuân Vân,873060
0,5200,91250.0,110000.0,HomeImp,Office,24.0,0.0,0.0,123.76666667,1.0,12.0,,0.0833643814790634,695,320325139430,Bùi Thị Cường,106277
0,25900,152071.0,185893.0,HomeImp,Self,0.0,0.0,0.0,185.54351198,0.0,16.0,40.642278896,0.0133677340674011,764,793998566948,Phan Hải Bình,603677
0,26700,129559.0,170042.0,DebtCon,Mgr,1.0,0.0,0.0,232.64617336,1.0,24.0,34.117532893,0.0103343743007492,773,965600419803,Hoàng Văn Hùng,817095
0,5900,,66903.0,,,,,,,,,32.782926828,0.0444344300527983,720,676164566038,Hoàng Thùy Anh,822436
0,26900,74982.0,126972.0,DebtCon,Office,0.0,0.0,0.0,315.81891124,0.0,23.0,38.325989849,0.0085257828113232,780,822069290865,Vũ Quốc Linh,330523
1,15000,55300.0,81000.0,DebtCon,Other,5.3,8.0,0.0,259.73333333,4.0,30.0,,0.5701529100529101,599,54633946999,Bùi Minh Linh,776487
0,31800,70680.0,114720.0,HomeImp,Other,5.0,,,115.85024915,11.0,20.0,43.06942356,0.0281813450786705,737,317754611763,Nguyễn Thị Hà,323549
0,7000,5768.0,26600.0,,,,,,,,,,0.1256471130650384,679,907538078346,Trần Đức Tú,925174
0,16100,107758.0,124610.0,DebtCon,ProfExe,0.0,0.0,0.0,129.17889813,0.0,29.0,34.2115674,0.0111448406448857,771,516148354881,Lê Xuân Lan,290870
0,12000,102109.0,121229.0,DebtCon,,2.0,0.0,0.0,104.48259122,0.0,25.0,34.767288887,0.0314805848157895,732,68110490903,Bùi Xuân Linh,190894
0,26000,107291.0,137426.0,DebtCon,Mgr,9.0,2.0,0.0,191.57344003,4.0,18.0,40.767401412,0.028657392026578,736,458445524031,Huỳnh Thị Dũng,895145
0,9400,,50575.0,HomeImp,Other,,,,99.06951832,,8.0,35.9078154,0.0787399537222089,698,524246994075,Hoàng Xuân Dũng,492655
0,15900,102564.0,120724.0,DebtCon,ProfExe,0.0,0.0,0.0,125.83407016,0.0,30.0,37.993775785,0.036421622593971,727,274604931459,Hoàng Xuân Bình,404583
0,8400,62583.0,77481.0,DebtCon,Office,6.0,0.0,0.0,98.672705089,2.0,15.0,26.308380329,0.0049574702962168,800,922488750224,Nguyễn Quốc Thảo,384010
0,20900,71972.0,101745.0,DebtCon,Mgr,6.0,0.0,0.0,67.324562017,6.0,23.0,38.513256182,0.0221436626047585,746,685387892144,Lê Thị Phương,125897
0,17200,17234.0,43310.0,,Office,1.0,0.0,0.0,215.6075405,0.0,15.0,38.318514688,0.0040446702087501,808,864060267525,Nguyễn Xuân Thảo,813313
0,15300,59083.0,96073.0,DebtCon,ProfExe,8.0,0.0,0.0,194.00548665,0.0,19.0,20.487979653,0.0026879340951809,822,979592256753,Bùi Minh Anh,702179
0,15900,68304.0,92271.0,DebtCon,Other,1.0,1.0,2.0,113.22840343,2.0,25.0,32.881846931,0.0773553627058299,698,807957503418,Đặng Thị Phương,777950
1,22600,155056.0,187000.0,DebtCon,Mgr,0.1,0.0,0.0,253.6,0.0,27.0,,0.243559218413405,650,484446618152,Bùi Xuân Thảo,900866
0,9900,73804.0,97413.0,DebtCon,ProfExe,5.0,0.0,0.0,107.33302454,0.0,25.0,33.524879599,0.0256538319423126,740,945622794459,Lê Minh Linh,992780
0,11800,21813.0,30436.0,DebtCon,Office,5.0,0.0,1.0,104.01163591,0.0,16.0,19.408461231,0.0193348569325271,751,60564437764,Bùi Đức Anh,603282
0,5100,73882.0,96031.0,DebtCon,Other,0.0,0.0,0.0,125.78740011,1.0,10.0,34.446079222,0.0435997268263938,720,598793076469,Lê Quốc Sơn,534488
1,17900,96450.0,135822.0,HomeImp,ProfExe,6.0,0.0,1.0,90.3,6.0,5.0,,0.6628571428571428,585,666821457476,Nguyễn Văn Dũng,537014
0,20700,71408.0,103991.0,HomeImp,Other,4.0,0.0,0.0,208.35175048,1.0,12.0,31.327394441,0.0070865838621312,787,106073311008,Trần Quốc Linh,452062
0,11000,21780.0,85505.0,HomeImp,ProfExe,19.0,0.0,0.0,240.68258102,0.0,10.0,24.404335112,0.0074125221378131,786,901197949960,Vũ Minh Tú,918576
0,23400,72262.0,94646.0,DebtCon,Other,2.0,0.0,0.0,105.99926564,1.0,29.0,31.8406351,0.0170899416413814,755,667137497044,Đặng Thị Thảo,246089
0,20900,111464.0,144487.0,DebtCon,Office,11.0,0.0,1.0,206.67735326,0.0,25.0,40.065477156,0.0163449347541861,757,809428361034,Nguyễn Thu Vân,772617
0,19600,55169.0,86203.0,DebtCon,Other,18.0,0.0,0.0,223.60332921,1.0,22.0,33.755272795,0.0081792652767951,782,339876887212,Huỳnh Quốc Anh,309961
0,12600,80612.0,93802.0,DebtCon,Mgr,5.0,0.0,0.0,141.61314558,2.0,26.0,40.74903888,0.0103971973155085,773,82784691476,Vũ Hải Tú,760534
0,22500,62137.0,95708.0,DebtCon,Office,4.0,,,187.16614886,,16.0,37.460417567,0.0051500656540463,799,358967295554,Lê Thị Lan,137905
0,10900,49406.0,83074.0,HomeImp,Other,1.0,0.0,1.0,191.81512308,0.0,13.0,30.124555686,0.0196971172076681,750,906246043730,Huỳnh Hải Lan,219662
0,18100,112832.0,182418.0,DebtCon,Office,8.0,0.0,0.0,230.07213106,3.0,23.0,40.298698909,0.0073397944849634,786,100841928393,Trần Quốc Anh,855246
1,15400,63456.0,96794.0,DebtCon,ProfExe,3.0,0.0,0.0,85.529362471,0.0,28.0,37.362645,0.483071444858084,611,698798888943,Bùi Thu Anh,772026
0,17900,72501.0,94488.0,DebtCon,Office,1.0,0.0,0.0,162.38956192,3.0,19.0,29.961189014,0.00383734115881,809,757655711716,Đặng Đức Thảo,441700
0,5100,93000.0,116875.0,HomeImp,Other,10.0,,,417.63333333,2.0,50.0,,0.0928123358592473,691,689331709032,Huỳnh Thị Linh,030495
0,12700,27459.0,38577.0,HomeImp,Mgr,16.0,0.0,0.0,72.329572042,0.0,9.0,31.605665455,0.0381233086853026,725,284860753153,Trần Xuân Linh,927845
0,25000,36108.0,84365.0,HomeImp,Other,23.0,0.0,0.0,248.85150089,0.0,7.0,26.027040254,0.0047679369906493,802,961900677451,Bùi Đức Sơn,839630
0,9800,79767.0,93525.0,DebtCon,Other,0.0,4.0,0.0,,0.0,4.0,31.290118994,0.0179808611913142,753,54758738817,Trần Văn Cường,673213
1,25000,105750.0,141000.0,HomeImp,Office,15.0,1.0,2.0,305.36666667,2.0,14.0,,0.6731168831168831,583,492716798162,Phan Đức Thảo,632499
0,21700,58363.0,78411.0,DebtCon,,5.0,0.0,0.0,104.17477035,0.0,16.0,38.188435476,0.0174519976923986,754,405465765861,Bùi Đức Anh,987028
0,11100,43167.0,60209.0,DebtCon,Other,3.0,0.0,1.0,80.368196976,0.0,20.0,37.490798825,0.0394571038371867,724,199470173597,Đặng Quốc Anh,087902
0,5000,,34846.0,HomeImp,,,,,,,,33.354652626,0.3717293460783249,628,764163037567,Phan Thùy Anh,322262
0,31000,13542.0,58827.0,DebtCon,Other,0.0,0.0,0.0,92.1329084,0.0,6.0,36.256968747,0.0098747598927689,775,556812316893,Trần Thùy Dũng,313826
0,15600,62622.0,106824.0,HomeImp,ProfExe,9.0,0.0,0.0,261.02141544,0.0,11.0,34.97887956,0.0115714562216195,769,807545955278,Trần Thùy Dũng,620581
0,42100,21137.0,65676.0,DebtCon,Other,21.0,0.0,0.0,194.34632446,1.0,31.0,43.205910577,0.0517524478931366,714,638570944628,Hoàng Đức Linh,432457
0,7200,22832.0,31666.0,DebtCon,Other,0.0,0.0,0.0,38.003266851,9.0,7.0,28.295681117,0.0257142857142857,740,372048269303,Lê Quốc Phương,394523
0,13700,32942.0,40143.0,HomeImp,Other,8.0,0.0,0.0,65.000742252,2.0,12.0,30.268368849,0.0130333064492817,765,955657098164,Đặng Thu Phương,658107
0,15200,44414.0,60098.0,DebtCon,,4.0,1.0,0.0,105.74964198,2.0,9.0,27.375269408,0.0735592180354911,700,169070613535,Phan Minh Hà,213737
1,23500,54816.0,87000.0,DebtCon,Other,3.5,0.0,1.0,223.2,0.0,17.0,,0.1699695287347771,666,391521039834,Lê Văn Hùng,935116
0,17100,19126.0,88969.0,DebtCon,Other,21.0,0.0,0.0,225.70628788,2.0,41.0,38.896378177,0.0113550852664948,770,891547612718,Phan Xuân Lan,259944
0,27100,33649.0,63214.0,,Office,2.0,0.0,0.0,113.03673652,2.0,6.0,37.837863874,0.1064494242575716,686,426632482985,Lê Minh Phương,271921
0,14200,100664.0,129166.0,DebtCon,Mgr,4.0,,,255.68764844,2.0,41.0,38.746759787,0.0211788865990327,747,756139593747,Vũ Văn Hùng,090706
0,20900,63038.0,86870.0,DebtCon,,3.0,0.0,0.0,113.69883344,0.0,16.0,38.732521813,0.0377062829540111,726,809349167034,Trần Quốc Cường,462789
1,11000,77517.0,86214.0,HomeImp,ProfExe,2.0,2.0,0.0,352.37913787,0.0,28.0,28.030214206,0.7152419301890343,576,676094108560,Phạm Đức Phương,232722
0,13300,153411.0,182014.0,DebtCon,ProfExe,7.0,,0.0,198.39162001,3.0,25.0,41.987115537,0.0101254154218464,774,535579229372,Đặng Văn Hùng,362190
1,14600,67997.0,87000.0,DebtCon,Other,11.0,1.0,,93.333333333,3.0,23.0,,0.2168970520732406,655,827842419490,Phạm Thu Phương,299688
0,16000,16300.0,128200.0,DebtCon,Other,10.0,0.0,0.0,366.26666667,1.0,10.0,,0.0165197198843061,756,75793011697,Huỳnh Minh Vân,973798
0,65200,71151.0,143960.0,HomeImp,Office,10.0,0.0,0.0,128.78051428,0.0,12.0,43.191163412,0.0665362766770857,704,544523749145,Lê Xuân Anh,332101
0,11800,116742.0,137385.0,DebtCon,ProfExe,15.0,,1.0,170.54003506,1.0,33.0,30.785003591,0.0226046532224744,745,666744619970,Nguyễn Đức Quyên,278772
0,13700,94650.0,109650.0,DebtCon,Office,3.5,0.0,1.0,268.83333333,1.0,34.0,,0.022580387172945,745,360916899755,Phan Văn Bình,800490
0,20100,59726.0,79982.0,DebtCon,Mgr,8.0,1.0,0.0,74.210758656,2.0,28.0,36.846921785,0.0557447164149442,711,60325064842,Đặng Đức Tú,772432
1,18700,70562.0,91223.0,DebtCon,Other,27.0,0.0,2.0,112.71036806,4.0,35.0,64.272476898,0.9414285714285714,509,451945848889,Trần Xuân Bình,721941
0,10500,74814.0,98132.0,HomeImp,ProfExe,8.0,0.0,0.0,164.3308981,0.0,34.0,32.375149102,0.0073425123422724,786,708820937757,Phạm Thị Cường,694749
1,15000,49200.0,72900.0,DebtCon,Other,10.0,0.0,0.0,174.03329961,1.0,16.0,,0.1520115335995467,671,86881174962,Phạm Đức Bình,201790
1,33400,59000.0,85000.0,HomeImp,Self,2.0,0.0,7.0,240.43333333,3.0,26.0,,0.7785714285714286,564,910781697900,Trần Thị Quyên,595152
0,14400,20996.0,41987.0,DebtCon,Mgr,9.0,0.0,0.0,120.95551442,0.0,10.0,21.11871262,0.0032934804044792,815,464930663805,Trần Đức Lan,949492
1,16300,49868.0,76131.0,DebtCon,Other,9.0,0.0,0.0,81.274155797,2.0,9.0,40.372556541,0.5936804081433171,595,673485181474,Trần Văn Mai,805560
0,15600,102881.0,117868.0,DebtCon,Other,11.0,0.0,0.0,287.44113086,2.0,19.0,31.759876787,0.0100549038145105,774,142364070964,Phan Quốc Thảo,305489
0,24200,150939.0,183208.0,DebtCon,Other,1.0,0.0,0.0,205.77680196,0.0,34.0,39.656334058,0.0123091447264243,767,94552813527,Bùi Thị Vân,014056
0,24500,80072.0,107559.0,DebtCon,Other,18.0,0.0,0.0,194.87746019,0.0,12.0,39.210169634,0.0076251191995671,785,630249940916,Phạm Xuân Dũng,183801
0,14300,31607.0,70118.0,DebtCon,ProfExe,6.0,0.0,0.0,255.71956727,0.0,15.0,23.062913802,0.0020073145891875,833,419967113638,Vũ Thị Anh,081105
0,16700,51310.0,76704.0,DebtCon,Other,2.0,,2.0,271.6519477,0.0,10.0,37.630057159,0.0423669873469886,721,282354525936,Đặng Thu Thảo,963298
0,21500,90000.0,111500.0,DebtCon,Other,24.0,0.0,0.0,243.5,1.0,27.0,,0.0050106947818506,800,894399028659,Hoàng Đức Dũng,693553
1,17200,62108.0,,DebtCon,Office,21.0,0.0,0.0,174.39613454,1.0,21.0,34.538925374,0.0475697788396149,717,106240466469,Hoàng Thu Thảo,988022
0,41200,99653.0,157923.0,DebtCon,Other,14.0,,1.0,213.48287428,3.0,30.0,40.908479949,0.0114986641327038,770,550721130470,Đặng Minh Lan,518714
0,22700,91303.0,98362.0,HomeImp,,7.0,,,,,,30.681015154,0.0155170634610074,759,888823833078,Huỳnh Hồng Cường,270616
0,12100,61868.0,66874.0,HomeImp,Other,30.0,0.0,3.0,170.43863924,0.0,23.0,37.915020999,0.0521868375992871,713,564233705660,Phạm Quốc Mai,595663
0,14100,54081.0,68577.0,DebtCon,Other,8.0,0.0,0.0,237.68227828,0.0,17.0,33.089017513,0.0025757289612253,824,434193677246,Nguyễn Thu Cường,356814
1,18000,99401.0,140000.0,DebtCon,Other,8.9,2.0,0.0,150.1,3.0,20.0,,0.3517153772153772,631,168792614281,Hoàng Minh Hùng,485467
0,28400,197852.0,243593.0,DebtCon,Other,10.0,0.0,0.0,111.10868013,2.0,26.0,41.214965339,0.0486795313973773,716,120477695136,Phan Minh Anh,588931
0,6700,58741.0,68225.0,DebtCon,ProfExe,9.0,0.0,3.0,173.5744163,1.0,31.0,23.587013228,0.0236947547897877,743,894202619628,Phạm Thị Tú,992413
0,8800,26607.0,39710.0,HomeImp,Office,0.0,0.0,0.0,104.69282515,1.0,30.0,38.326728213,0.070155990110011,702,229515341653,Bùi Đức Mai,433790
0,14200,60570.0,74648.0,DebtCon,ProfExe,2.0,0.0,0.0,137.84110526,2.0,35.0,40.289761298,0.090745373003023,692,104559461590,Trần Văn Mai,595790
0,8700,58060.0,65605.0,DebtCon,Other,23.0,0.0,0.0,259.6838134,3.0,29.0,39.829999465,0.0126610204121509,766,894614185131,Vũ Hải Thảo,856146
0,9300,21138.0,30700.0,DebtCon,Other,3.0,,,,,,,0.3423339194530997,632,734756621688,Phan Đức Hà,738209
0,13000,40996.0,58938.0,DebtCon,Mgr,,,,,,,35.809612733,0.0811819723361943,696,838356919031,Hoàng Hải Anh,252414
0,10000,124000.0,192000.0,HomeImp,Office,0.0,0.0,1.0,346.96666667,0.0,16.0,,0.1151074479378528,682,586131205742,Phan Xuân Mai,221205
0,16900,88143.0,115365.0,DebtCon,Other,19.0,0.0,0.0,282.06851776,0.0,16.0,24.962851371,0.0013554782141208,847,921501409289,Hoàng Thị Quyên,886600
0,21000,64100.0,85100.0,DebtCon,Other,3.5,0.0,0.0,97.633333333,2.0,30.0,,0.0374564900782601,726,423581526933,Đặng Quốc Linh,062958
1,2200,24280.0,34687.0,HomeImp,Other,,0.0,1.0,300.86666667,0.0,8.0,,0.6981122448979591,579,335931951440,Lê Thu Hùng,696172
0,10400,63505.0,75811.0,DebtCon,Other,3.0,0.0,0.0,182.0920717,2.0,17.0,33.690785641,0.011255374897887,770,706819897621,Nguyễn Xuân Thảo,417021
0,34100,241545.0,42189.0,DebtCon,Mgr,1.0,0.0,2.0,196.55422123,3.0,50.0,42.042706176,0.0216117216117216,746,990009639746,Lê Thu Bình,572427
0,14400,111914.0,142105.0,DebtCon,ProfExe,3.0,0.0,0.0,284.51696603,1.0,46.0,32.911384663,0.0081990791224897,782,645971580347,Phan Hải Tú,424977
0,10300,51787.0,86200.0,HomeImp,Other,17.0,0.0,0.0,203.73276258,0.0,16.0,34.435246045,0.0022236218627511,829,767856819570,Huỳnh Thu Vân,701247
0,8800,135899.0,202788.0,DebtCon,ProfExe,1.0,0.0,0.0,53.767621524,1.0,23.0,35.932025066,0.0515392019486061,714,446749668494,Phạm Hồng Sơn,459386
0,32600,79874.0,125000.0,DebtCon,Mgr,30.0,0.0,0.0,340.9,0.0,20.0,,0.037676510304645,726,579143340184,Hoàng Đức Tú,979915
0,20000,,26507.0,DebtCon,ProfExe,7.0,0.0,0.0,92.426673817,1.0,19.0,20.683740382,0.0015611726122135,842,995664928009,Phạm Minh Lan,984028
0,16300,69327.0,102426.0,HomeImp,ProfExe,8.0,0.0,0.0,246.75466611,1.0,12.0,36.409094498,0.0047857653209351,801,208744158872,Hoàng Quốc Mai,795500
0,5500,71644.0,72696.0,HomeImp,Sales,4.0,2.0,0.0,150.86584513,0.0,22.0,40.442567785,0.0544323308270676,712,753293414120,Vũ Minh Thảo,638836
1,31500,16000.0,43040.0,DebtCon,Other,0.0,1.0,1.0,98.433333333,1.0,11.0,,0.3916156462585034,625,377062863657,Đặng Văn Phương,420982
0,13800,76537.0,108747.0,DebtCon,Other,5.0,0.0,0.0,73.075238088,1.0,14.0,34.2526057,0.0112147190293568,770,152876230735,Vũ Minh Sơn,406065
1,8000,47306.0,68350.0,HomeImp,Other,9.0,0.0,0.0,82.633333333,0.0,20.0,,0.2788622156654279,643,901901507014,Lê Đức Cường,322038
0,15400,30703.0,57184.0,HomeImp,Other,10.0,0.0,0.0,122.80432653,0.0,10.0,18.150902154,0.0011812521431073,850,609999502117,Phạm Đức Dũng,059224
0,17000,6778.0,60065.0,DebtCon,Sales,0.0,0.0,0.0,326.51841443,0.0,5.0,38.836601841,0.0132772149161683,764,7260718023,Phạm Thùy Bình,822526
0,17000,45671.0,64516.0,HomeImp,Other,27.0,0.0,0.0,246.17972137,0.0,13.0,25.701205603,0.002171638237174,830,405079984618,Nguyễn Thị Quyên,473310
0,5000,,26550.0,DebtCon,Other,1.7,0.0,0.0,276.96666667,1.0,14.0,,0.0945014346627231,690,934009670604,Phan Hải Mai,633024
0,12800,206527.0,227737.0,HomeImp,ProfExe,11.0,0.0,0.0,225.20132562,0.0,22.0,31.12184071,0.0098828506163615,775,917888742801,Hoàng Minh Hà,648734
0,18600,23792.0,79716.0,HomeImp,Other,,0.0,0.0,238.78983667,0.0,50.0,42.127124258,0.0133232197931655,764,148109623950,Phạm Hồng Thảo,052602
0,18000,23252.0,50750.0,DebtCon,ProfExe,16.0,0.0,0.0,180.6,1.0,20.0,,0.0260124068227496,740,913176793663,Bùi Quốc Anh,673363
0,19800,73557.0,95770.0,DebtCon,Mgr,0.0,0.0,0.0,70.029159184,0.0,17.0,25.596617373,0.0163125016228582,757,134901395625,Lê Thu Hà,474993
0,24500,33537.0,57048.0,DebtCon,Other,14.0,0.0,0.0,99.376132515,1.0,24.0,28.495004812,0.008298947562086,781,213636147247,Phạm Minh Dũng,558806
1,15000,29000.0,105000.0,HomeImp,Other,7.0,0.0,4.0,97.666666667,1.0,8.0,,0.6221428571428571,591,743072574712,Huỳnh Quốc Mai,820184
